Salary,Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PTS,+/-,E+/-,PIM,Shifts,TOI,TOIX,TOI/GP,TOI/GP,TOI%,IPP%,SH%,SV%,PDO,F/60,A/60,Pct%,Diff,Diff/60
925000,97-01-30,Sainte-Marie,QC,CAN,CAN,74,190,2015,1,18,L,Chabot,Thomas,D,OTT,1,0,0,0,0,0,-2,0,0,13,429,7.2,7.15,7.16,15.2,0,0,0.75,750,0,16.74,0,-2,-16.74
2250000,93-12-21,Ottawa,ON,CAN,CAN,74,207,2012,1,15,R,Ceci,Cody,D,OTT,79,2,15,6,9,17,-11,-10.4,20,2418,109992,1826.2,23.2,23.17,39,30.4,7.4,0.915,989,1.84,2.79,39.7,-29,-0.95
8000000,88-04-16,St. Paul,MN,USA,USA,72,218,2006,1,7,R,Okposo,Kyle,RW,BUF,65,19,26,13,13,45,-7,-1.4,24,1443,73983,1229.2,18.97,18.95,33.1,63.4,9.7,0.934,1031,3.47,1.95,64,31,1.51
3500000,92-01-07,Ottawa,ON,CAN,CAN,77,220,2010,1,3,R,Gudbranson,Erik,D,VAN,30,1,5,5,0,6,-14,-5.3,18,765,36603,607.9,20.33,20.31,36.1,37.5,6.2,0.897,959,1.58,3.45,31.4,-19,-1.88
1750000,94-03-29,Toronto,ON,CAN,CAN,76,217,2012,1,16,R,Wilson,Tom,RW,WSH,82,7,12,4,8,19,9,4.1,133,1453,63592,1059.7,12.93,12.93,23.5,61.3,7.8,0.917,995,1.76,2.32,43.1,-10,-0.57
1500000,79-05-23,Strathroy,ON,CAN,CAN,70,192,1997,6,156,L,Campbell,Brian,D,CHI,80,5,12,6,6,17,12,0.7,24,1896,88462,1473.7,18.43,18.43,32.4,23.9,9.8,0.936,1033,2.89,1.91,60.2,24,0.98
950000,90-11-21,Stockholm,,SWE,SWE,71,185,2009,2,53,L,Rodin,Anton,RW,VAN,3,0,1,0,1,1,1,0.3,0,40,1604,26.7,8.92,8.91,19.1,100,14.3,1,1143,2.24,0,100,1,2.24
842500,93-07-28,Toronto,ON,CAN,CAN,70,183,,,,R,Rodrigues,Evan,LW/C,BUF,30,4,2,2,0,6,-7,-4.1,4,506,23265,388.2,12.93,12.93,23.5,75,4.7,0.925,972,1.24,2.63,32,-9,-1.39
1250000,92-06-14,Scarborough,ON,CAN,CAN,72,214,2010,2,42,R,Smith-Pelly,Devante,RW/C/LW,N.J,53,4,5,2,3,9,-19,-7.9,12,975,42950,717.7,13.57,13.54,24.2,81.8,4,0.924,964,0.92,2.42,27.5,-18,-1.5
925000,93-04-27,Petawawa,ON,CAN,CAN,68,178,2011,7,201,L,Peca,Matthew,C,T.B,10,1,1,1,0,2,-3,-2.6,2,159,6867,114.3,11.45,11.44,23.4,100,4.4,0.907,952,1.05,2.63,28.6,-3,-1.58
800000,86-07-27,Lively,ON,CAN,CAN,73,195,,,,L,Desjardins,Andrew,LW/C,CHI,46,0,1,0,1,1,-6,0.8,22,607,25948,432.3,9.4,9.4,18.2,10,4.8,0.912,959,1.39,2.64,34.5,-9,-1.25
600000,92-04-09,Ile Bizard,QC,CAN,CAN,74,204,2010,3,89,L,Chaput,Michael,C,VAN,68,4,5,2,3,9,-12,-5.7,29,1115,44970,749.1,11.02,11.02,20.5,56.3,4.7,0.924,971,1.28,2.48,34,-15,-1.2
1000000,88-03-17,Brandon,MB,CAN,CAN,72,200,2006,3,66,R,White,Ryan,C,ARI/MIN,65,9,7,4,3,16,-16,-9,84,948,41566,692.7,10.65,10.65,20.7,76.2,6.8,0.894,962,1.82,3.38,35,-18,-1.56
925000,96-06-20,Holland Landing,ON,CAN,CAN,73,186,2014,1,4,L,Bennett,Sam,C,CGY,81,13,13,7,6,26,-16,-0.6,75,1613,72839,1212.7,14.98,14.98,26.2,65,7.7,0.906,983,1.98,2.62,43,-13,-0.64
950000,89-04-20,Red Deer,AB,CAN,CAN,72,195,2007,4,112,R,Sceviour,Colton,C/RW,FLA,80,9,15,9,6,24,-16,-6.5,25,1596,70241,1169.7,14.63,14.63,26,68.6,6.3,0.911,974,1.8,2.82,38.9,-20,-1.03
