bond,Price,Coupon,Maturity
0,1.06,0.0648,2.0
1,1.33,0.1073,7.0
2,0.9,0.0514,10.0
3,0.96,0.0307,4.0
4,0.99,0.042,5.0
5,1.39,0.1185,7.0
6,1.02,0.0462,4.0
7,0.69,0.025,10.0
8,1.06,0.0657,8.0
9,0.95,0.0538,9.0
10,1.05,0.0767,1.0
11,1.17,0.0965,3.0
12,0.85,0.0447,10.0
13,1.3,0.1112,5.0
14,1.37,0.1192,6.0
15,0.79,0.0381,10.0
16,1.08,0.0745,10.0
17,0.99,0.0256,2.0
18,1.26,0.0953,8.0
19,1.37,0.1195,6.0
20,1.39,0.1141,9.0
21,1.05,0.0555,5.0
22,1.21,0.092,5.0
23,1.02,0.0468,4.0
24,1.15,0.1114,2.0
25,1.01,0.0391,3.0
26,0.95,0.0281,4.0
27,1.01,0.0395,1.0
28,1.24,0.106,4.0
29,1.21,0.0966,4.0
30,1.07,0.0992,1.0
31,1.1,0.0719,3.0
32,1.3,0.1123,5.0
33,1.19,0.0863,5.0
34,1.04,0.0593,7.0
35,1.0,0.0291,1.0
36,1.08,0.1111,1.0
37,0.76,0.0333,10.0
38,1.06,0.0726,10.0
39,0.9,0.0221,5.0
40,0.79,0.0381,10.0
41,1.29,0.1021,10.0
42,1.01,0.0397,1.0
43,1.26,0.1035,5.0
44,1.23,0.0911,8.0
45,0.84,0.0319,8.0
46,0.89,0.0404,8.0
47,1.06,0.0646,2.0
48,1.13,0.0768,4.0
49,1.07,0.0614,6.0
50,1.12,0.0804,10.0
51,1.01,0.0319,1.0
52,0.96,0.0354,5.0
53,1.0,0.0412,4.0
54,1.08,0.0615,4.0
55,1.12,0.092,2.0
56,0.79,0.0308,9.0
57,1.15,0.111,2.0
58,0.95,0.0393,6.0
59,0.96,0.035,5.0
60,1.06,0.0594,6.0
61,1.02,0.0416,1.0
62,0.85,0.0272,7.0
63,0.95,0.0267,4.0
64,0.98,0.0223,2.0
65,0.99,0.0332,3.0
66,1.07,0.0928,1.0
67,1.13,0.0748,4.0
68,1.21,0.089,8.0
69,1.28,0.1002,7.0
70,1.27,0.0966,8.0
71,1.18,0.0823,6.0
72,1.02,0.0589,8.0
73,1.0,0.0483,6.0
74,1.21,0.0906,5.0
75,1.17,0.0964,3.0
76,1.17,0.0807,7.0
77,1.1,0.0668,5.0
78,1.0,0.044,5.0
79,1.12,0.0957,2.0
80,1.04,0.0547,5.0
81,1.14,0.0876,3.0
82,0.91,0.0321,6.0
83,0.83,0.0367,9.0
84,0.77,0.0279,9.0
85,0.77,0.0352,10.0
86,1.15,0.0769,6.0
